"언어","종류","게시판","idx","제목","카테고리","날짜","본문길이","이미지수","첨부수"
"ky","news","news_kg","19","[Кулактандыруу] сурамжылоого катышууга чакырабыз","Кулактандыруу","2023-02-09","994","2","0"
"ky","news","news_kg","2","[Кулактандыруу] Жаркын Кыргызстан: Кыргызстан, Бишкек шаарынын жаны конуштагы балдардын ден соолугун чындоо (жакшыртуу) долбоорунун жаныдан башталышы","Кулактандыруу","2023-02-09","155","1","0"
"ky","news","news_kg","20","[Кулактандыруу] Итоги 2022 года жаркын кыргызстан","Кулактандыруу","2023-02-09","5","3","0"
"ky","news","news_kg","21","[Кулактандыруу] Четвертая Образовательная сессия “Внедрение и планирование эффективной стратегии информационной системы здравоохранения в Кыргызской Республике”","Кулактандыруу","2023-03-29","218","2","0"
"ky","news","news_kg","22","[Кулактандыруу] Пятая Образовательная сессия 'Программа подготовки бакалавров по направлению Сестринское дело '","Кулактандыруу","2023-03-29","218","2","0"
"ky","news","news_kg","29","Бүткүл дүйнөлүк медайымдардын күнү 2023","Кулактандыруу","2023-05-12","1608","2","0"
"ky","news","news_kg","3","[Кулактандыруу] GLP( “Эл аралык саламаттыкты сактоо программасы) алкагында 7","Кулактандыруу","2023-02-09","1996","0","0"
"ky","news","news_kg","30","Эл аралык форумуна","Кулактандыруу","2023-05-30","1640","1","0"
"ky","news","news_kg","31","ПОСТЕРДИК ДОКЛАДКА ТЕЗИСТЕРДИ КАБЫЛ АЛУУ ЖҮРҮП ЖАТАТ (Тезистерди кабыл алуу мөөнөтү узартылды!)","Кулактандыруу","2023-05-30","2658","1","0"
"ky","news","news_kg","32","[Жергиликтүү ММКлар] Кыргыз Республикасында медайымдык жана акушердик иш боюнча бакалавриат жана магистратура программаларын киргизүүгө расмий уруксат берилди","Кулактандыруу","2023-06-16","1303","4","0"
